Starting Fresh Llama-3.1-8B-Instruct 3-Epoch SFT on gpua063.delta.ncsa.illinois.edu at Sat Aug 22 06:15:29 CDT 2026
GPU allocated:
NVIDIA A100-SXM4-40GB, 40960 MiB
NVIDIA A100-SXM4-40GB, 40960 MiB
NVIDIA A100-SXM4-40GB, 40960 MiB
NVIDIA A100-SXM4-40GB, 40960 MiB
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
--- Formatting Chat Templates ---
--- Formatting Chat Templates ---
--- Formatting Chat Templates ---
--- Formatting Chat Templates ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
{'loss': 0.3855, 'grad_norm': 0.36158013343811035, 'learning_rate': 5.2283105022831056e-05, 'entropy': 0.3864243119955063, 'num_tokens': 15073280.0, 'mean_token_accuracy': 0.905846381187439, 'epoch': 0.02}
{'loss': 0.3831, 'grad_norm': 0.3569307029247284, 'learning_rate': 5.45662100456621e-05, 'entropy': 0.38431751132011416, 'num_tokens': 15728640.0, 'mean_token_accuracy': 0.9062897503376007, 'epoch': 0.02}
{'loss': 0.378, 'grad_norm': 0.3872624635696411, 'learning_rate': 5.684931506849316e-05, 'entropy': 0.3796695411205292, 'num_tokens': 16384000.0, 'mean_token_accuracy': 0.9074195772409439, 'epoch': 0.03}
{'loss': 0.3761, 'grad_norm': 0.38398104906082153, 'learning_rate': 5.9132420091324204e-05, 'entropy': 0.3778919443488121, 'num_tokens': 17039360.0, 'mean_token_accuracy': 0.9077543973922729, 'epoch': 0.03}
{'loss': 0.3736, 'grad_norm': 0.3642385005950928, 'learning_rate': 6.141552511415526e-05, 'entropy': 0.3753722429275513, 'num_tokens': 17694720.0, 'mean_token_accuracy': 0.9086915880441666, 'epoch': 0.03}
{'loss': 0.3682, 'grad_norm': 0.3912658095359802, 'learning_rate': 6.36986301369863e-05, 'entropy': 0.3700501799583435, 'num_tokens': 18350080.0, 'mean_token_accuracy': 0.9093887478113174, 'epoch': 0.03}
{'loss': 0.3654, 'grad_norm': 0.28835058212280273, 'learning_rate': 6.598173515981736e-05, 'entropy': 0.36711210012435913, 'num_tokens': 19005440.0, 'mean_token_accuracy': 0.9098290592432022, 'epoch': 0.03}
{'loss': 0.3634, 'grad_norm': 0.4044680595397949, 'learning_rate': 6.82648401826484e-05, 'entropy': 0.36570570170879363, 'num_tokens': 19660800.0, 'mean_token_accuracy': 0.9110552042722702, 'epoch': 0.03}
{'loss': 0.3581, 'grad_norm': 0.6524356007575989, 'learning_rate': 7.054794520547947e-05, 'entropy': 0.3598572999238968, 'num_tokens': 20316160.0, 'mean_token_accuracy': 0.9121575117111206, 'epoch': 0.03}
{'loss': 0.3564, 'grad_norm': 0.3425760567188263, 'learning_rate': 7.28310502283105e-05, 'entropy': 0.3586611792445183, 'num_tokens': 20971520.0, 'mean_token_accuracy': 0.9125596046447754, 'epoch': 0.03}
{'loss': 0.3534, 'grad_norm': 0.4501197040081024, 'learning_rate': 7.511415525114156e-05, 'entropy': 0.35511902868747713, 'num_tokens': 21626880.0, 'mean_token_accuracy': 0.9131833851337433, 'epoch': 0.03}
{'loss': 0.3508, 'grad_norm': 0.4044112265110016, 'learning_rate': 7.73972602739726e-05, 'entropy': 0.35326736718416213, 'num_tokens': 22282240.0, 'mean_token_accuracy': 0.9136038333177566, 'epoch': 0.03}
{'loss': 0.3484, 'grad_norm': 0.32009488344192505, 'learning_rate': 7.968036529680367e-05, 'entropy': 0.3499014973640442, 'num_tokens': 22937600.0, 'mean_token_accuracy': 0.9139080792665482, 'epoch': 0.04}
{'loss': 0.3498, 'grad_norm': 0.3163209557533264, 'learning_rate': 8.19634703196347e-05, 'entropy': 0.3510720357298851, 'num_tokens': 23592960.0, 'mean_token_accuracy': 0.9140105277299881, 'epoch': 0.04}
{'loss': 0.3474, 'grad_norm': 0.38780540227890015, 'learning_rate': 8.424657534246576e-05, 'entropy': 0.34879504442214965, 'num_tokens': 24248320.0, 'mean_token_accuracy': 0.9145532727241517, 'epoch': 0.04}
{'loss': 0.3435, 'grad_norm': 0.4175660014152527, 'learning_rate': 8.65296803652968e-05, 'entropy': 0.3455403417348862, 'num_tokens': 24903680.0, 'mean_token_accuracy': 0.9152657389640808, 'epoch': 0.04}
{'loss': 0.3427, 'grad_norm': 0.4031505882740021, 'learning_rate': 8.881278538812787e-05, 'entropy': 0.34412436187267303, 'num_tokens': 25559040.0, 'mean_token_accuracy': 0.9153712302446365, 'epoch': 0.04}
{'loss': 0.3412, 'grad_norm': 0.3358716368675232, 'learning_rate': 9.109589041095891e-05, 'entropy': 0.3434832200407982, 'num_tokens': 26214400.0, 'mean_token_accuracy': 0.9161035537719726, 'epoch': 0.04}
{'loss': 0.3344, 'grad_norm': 0.27241379022598267, 'learning_rate': 9.337899543378996e-05, 'entropy': 0.3358768165111542, 'num_tokens': 26869760.0, 'mean_token_accuracy': 0.9172165632247925, 'epoch': 0.04}
{'loss': 0.3364, 'grad_norm': 0.5258482694625854, 'learning_rate': 9.5662100456621e-05, 'entropy': 0.33784848898649217, 'num_tokens': 27525120.0, 'mean_token_accuracy': 0.9169964104890823, 'epoch': 0.04}
{'loss': 0.3362, 'grad_norm': 0.3901048004627228, 'learning_rate': 9.794520547945207e-05, 'entropy': 0.3380647346377373, 'num_tokens': 28180480.0, 'mean_token_accuracy': 0.9170759111642838, 'epoch': 0.04}
{'loss': 0.3337, 'grad_norm': 0.4649633467197418, 'learning_rate': 0.00010022831050228312, 'entropy': 0.3358623504638672, 'num_tokens': 28835840.0, 'mean_token_accuracy': 0.917583492398262, 'epoch': 0.05}
{'loss': 0.3315, 'grad_norm': 0.5214412212371826, 'learning_rate': 0.00010251141552511416, 'entropy': 0.33316866755485536, 'num_tokens': 29491200.0, 'mean_token_accuracy': 0.9181323528289795, 'epoch': 0.05}
{'loss': 0.3304, 'grad_norm': 0.36046102643013, 'learning_rate': 0.0001047945205479452, 'entropy': 0.3323814570903778, 'num_tokens': 30146560.0, 'mean_token_accuracy': 0.9185191541910172, 'epoch': 0.05}
{'loss': 0.3295, 'grad_norm': 0.38148126006126404, 'learning_rate': 0.00010707762557077626, 'entropy': 0.33120599389076233, 'num_tokens': 30801920.0, 'mean_token_accuracy': 0.9185267984867096, 'epoch': 0.05}
{'loss': 0.327, 'grad_norm': 0.5611821413040161, 'learning_rate': 0.00010936073059360732, 'entropy': 0.32837910801172254, 'num_tokens': 31457280.0, 'mean_token_accuracy': 0.919225487112999, 'epoch': 0.05}
{'loss': 0.3264, 'grad_norm': 0.3777643144130707, 'learning_rate': 0.00011164383561643836, 'entropy': 0.32885572463274004, 'num_tokens': 32112640.0, 'mean_token_accuracy': 0.919087889790535, 'epoch': 0.05}
{'loss': 0.3222, 'grad_norm': 0.598895788192749, 'learning_rate': 0.0001139269406392694, 'entropy': 0.32388089001178744, 'num_tokens': 32768000.0, 'mean_token_accuracy': 0.9207069516181946, 'epoch': 0.05}
{'loss': 0.3234, 'grad_norm': 0.3765285611152649, 'learning_rate': 0.00011621004566210046, 'entropy': 0.3262296438217163, 'num_tokens': 33423360.0, 'mean_token_accuracy': 0.9207589328289032, 'epoch': 0.05}
{'loss': 0.3217, 'grad_norm': 0.4677812457084656, 'learning_rate': 0.00011849315068493152, 'entropy': 0.32365416139364245, 'num_tokens': 34078720.0, 'mean_token_accuracy': 0.9208476066589355, 'epoch': 0.05}
{'loss': 0.3177, 'grad_norm': 0.3223492205142975, 'learning_rate': 0.00012077625570776256, 'entropy': 0.3193476766347885, 'num_tokens': 34734080.0, 'mean_token_accuracy': 0.9218704134225846, 'epoch': 0.05}
{'loss': 0.3171, 'grad_norm': 0.3305409848690033, 'learning_rate': 0.0001230593607305936, 'entropy': 0.31904441863298416, 'num_tokens': 35389440.0, 'mean_token_accuracy': 0.9219881355762481, 'epoch': 0.06}
{'loss': 0.317, 'grad_norm': 0.30066636204719543, 'learning_rate': 0.00012534246575342465, 'entropy': 0.31865326017141343, 'num_tokens': 36044800.0, 'mean_token_accuracy': 0.9217909127473831, 'epoch': 0.06}
{'loss': 0.3143, 'grad_norm': 0.48391014337539673, 'learning_rate': 0.0001276255707762557, 'entropy': 0.3155414581298828, 'num_tokens': 36700160.0, 'mean_token_accuracy': 0.9222862631082535, 'epoch': 0.06}
{'loss': 0.3145, 'grad_norm': 0.39810240268707275, 'learning_rate': 0.00012990867579908675, 'entropy': 0.3158735275268555, 'num_tokens': 37355520.0, 'mean_token_accuracy': 0.9222740322351456, 'epoch': 0.06}
{'loss': 0.314, 'grad_norm': 0.3435472846031189, 'learning_rate': 0.00013219178082191782, 'entropy': 0.31563800275325776, 'num_tokens': 38010880.0, 'mean_token_accuracy': 0.9226195544004441, 'epoch': 0.06}
{'loss': 0.3122, 'grad_norm': 0.390365868806839, 'learning_rate': 0.00013447488584474886, 'entropy': 0.3139143228530884, 'num_tokens': 38666240.0, 'mean_token_accuracy': 0.9228351235389709, 'epoch': 0.06}
{'loss': 0.3112, 'grad_norm': 0.351607084274292, 'learning_rate': 0.00013675799086757993, 'entropy': 0.3126822173595428, 'num_tokens': 39321600.0, 'mean_token_accuracy': 0.9233274161815643, 'epoch': 0.06}
{'loss': 0.3105, 'grad_norm': 0.3906843662261963, 'learning_rate': 0.00013904109589041097, 'entropy': 0.3119540631771088, 'num_tokens': 39976960.0, 'mean_token_accuracy': 0.9233977437019348, 'epoch': 0.06}
{'loss': 0.3099, 'grad_norm': 0.32562851905822754, 'learning_rate': 0.000141324200913242, 'entropy': 0.3123496130108833, 'num_tokens': 40632320.0, 'mean_token_accuracy': 0.9233151853084565, 'epoch': 0.06}
{'loss': 0.3081, 'grad_norm': 0.3246171176433563, 'learning_rate': 0.00014360730593607305, 'entropy': 0.3096016064286232, 'num_tokens': 41287680.0, 'mean_token_accuracy': 0.9237661987543107, 'epoch': 0.06}
{'loss': 0.3071, 'grad_norm': 0.27397018671035767, 'learning_rate': 0.00014589041095890411, 'entropy': 0.30887891054153443, 'num_tokens': 41943040.0, 'mean_token_accuracy': 0.9240658551454544, 'epoch': 0.07}
{'loss': 0.3059, 'grad_norm': 0.42432838678359985, 'learning_rate': 0.00014817351598173515, 'entropy': 0.3070218965411186, 'num_tokens': 42598400.0, 'mean_token_accuracy': 0.9242263853549957, 'epoch': 0.07}
{'loss': 0.3045, 'grad_norm': 0.3623508810997009, 'learning_rate': 0.00015045662100456622, 'entropy': 0.3065537691116333, 'num_tokens': 43253760.0, 'mean_token_accuracy': 0.9246544659137725, 'epoch': 0.07}
{'loss': 0.3045, 'grad_norm': 0.26546499133110046, 'learning_rate': 0.0001527397260273973, 'entropy': 0.3062006220221519, 'num_tokens': 43909120.0, 'mean_token_accuracy': 0.9245168685913085, 'epoch': 0.07}
{'loss': 0.3048, 'grad_norm': 0.3451234698295593, 'learning_rate': 0.00015502283105022833, 'entropy': 0.30680032819509506, 'num_tokens': 44564480.0, 'mean_token_accuracy': 0.9246116578578949, 'epoch': 0.07}
{'loss': 0.3038, 'grad_norm': 0.35204359889030457, 'learning_rate': 0.00015730593607305937, 'entropy': 0.3052947327494621, 'num_tokens': 45219840.0, 'mean_token_accuracy': 0.9248318135738373, 'epoch': 0.07}
{'loss': 0.3027, 'grad_norm': 0.3215777277946472, 'learning_rate': 0.0001595890410958904, 'entropy': 0.3044759288430214, 'num_tokens': 45875200.0, 'mean_token_accuracy': 0.9247813612222672, 'epoch': 0.07}
{'loss': 0.3028, 'grad_norm': 0.3483278155326843, 'learning_rate': 0.00016187214611872148, 'entropy': 0.3040708601474762, 'num_tokens': 46530560.0, 'mean_token_accuracy': 0.9246009558439254, 'epoch': 0.07}
{'loss': 0.3023, 'grad_norm': 0.3480331301689148, 'learning_rate': 0.00016415525114155252, 'entropy': 0.3042714551091194, 'num_tokens': 47185920.0, 'mean_token_accuracy': 0.9251222968101501, 'epoch': 0.07}
{'loss': 0.3025, 'grad_norm': 0.30175334215164185, 'learning_rate': 0.00016643835616438356, 'entropy': 0.303976908326149, 'num_tokens': 47841280.0, 'mean_token_accuracy': 0.9249846994876861, 'epoch': 0.08}
{'loss': 0.3007, 'grad_norm': 0.432793527841568, 'learning_rate': 0.00016872146118721462, 'entropy': 0.3023549348115921, 'num_tokens': 48496640.0, 'mean_token_accuracy': 0.9253516256809234, 'epoch': 0.08}
